Error_Rate (%),Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
3.03,01-01-2024 00:27,01-01-2024 00:27,51.14,6585,2623,7.01,768,Cloud,1982,412.52,High,Round Robin,Static
3.99,01-01-2024 00:28,01-01-2024 00:28,57.39,7172,1540,8.46,279,Enterprise DB,2322,784.15,High,Round Robin,Static
0.59,01-01-2024 00:29,01-01-2024 00:29,13.72,5773,1440,7.22,828,IoT,152,711.86,Low,FCFS,Static
1.22,01-01-2024 00:30,01-01-2024 00:30,58.6,5000,2321,4.36,660,Enterprise DB,1019,200.13,High,Priority-Based,Dynamic
1.73,01-01-2024 00:31,01-01-2024 00:31,23.64,7483,2492,0.8,87,Cloud,1121,567.29,Medium,FCFS,Static
4.91,01-01-2024 00:32,01-01-2024 00:32,15.2,1672,1461,9.69,601,Enterprise DB,786,745.48,Medium,Priority-Based,Dynamic
3.91,01-01-2024 00:33,01-01-2024 00:33,85.91,1388,691,9.87,19,Enterprise DB,1415,636.71,Low,Priority-Based,Static
4.43,01-01-2024 00:34,01-01-2024 00:34,87.25,3838,626,5.72,477,IoT,3680,604.02,Medium,FCFS,Dynamic
2.44,01-01-2024 00:35,01-01-2024 00:35,74.67,5017,2603,1.17,345,Social Media,277,742.21,Low,FCFS,Static
3.58,01-01-2024 00:36,01-01-2024 00:36,34.37,2141,1392,5.64,645,Cloud,3620,66.21,Medium,FCFS,Static
3.66,01-01-2024 00:37,01-01-2024 00:37,17.81,971,1754,8.98,195,Cloud,494,734.11,Medium,Priority-Based,Dynamic
2.84,01-01-2024 00:38,01-01-2024 00:38,64.74,3440,287,6.96,555,IoT,1669,279.93,High,Priority-Based,Static
4.39,01-01-2024 00:39,01-01-2024 00:39,45.21,1046,2858,7.34,130,Enterprise DB,4743,576.15,High,Priority-Based,Static
0.79,01-01-2024 00:40,01-01-2024 00:40,19.76,5226,628,1.31,601,Social Media,2254,249.88,High,Priority-Based,Static
0.29,01-01-2024 00:41,01-01-2024 00:41,49.61,4097,533,1.51,727,Cloud,2753,840.43,Medium,Priority-Based,Dynamic
1.52,01-01-2024 00:42,01-01-2024 00:42,12.75,5633,3612,1.71,574,Social Media,3100,485.75,Low,Priority-Based,Static
0.44,01-01-2024 00:43,01-01-2024 00:43,82.75,3325,1904,9.09,677,Social Media,3552,646.51,Low,Round Robin,Static
0.3,01-01-2024 00:44,01-01-2024 00:44,30.7,4223,402,5.5,283,Enterprise DB,3676,796.14,Low,FCFS,Static
2.1,01-01-2024 00:45,01-01-2024 00:45,63,6425,4282,8.02,419,Enterprise DB,1231,896.36,High,Priority-Based,Static
1,01-01-2024 00:46,01-01-2024 00:46,34.94,863,537,1.6,367,Enterprise DB,3306,734.74,Medium,Round Robin,Static
3.95,01-01-2024 00:47,01-01-2024 00:47,51.61,2666,2688,9.31,656,Cloud,847,157.28,High,ASB-Dynamic-CapsNet,Dynamic
2.9,01-01-2024 00:48,01-01-2024 00:48,53.74,3809,932,8.3,950,Social Media,884,855.99,Medium,Round Robin,Dynamic
1.8,01-01-2024 00:49,01-01-2024 00:49,24.79,1045,896,2.64,107,Social Media,3049,622.39,Medium,FCFS,Dynamic
1.43,01-01-2024 00:50,01-01-2024 00:50,87.57,3740,659,8.8,250,Cloud,2082,613.36,Medium,ASB-Dynamic-CapsNet,Dynamic
2.82,01-01-2024 00:51,01-01-2024 00:51,72.01,7165,3688,3,566,IoT,4502,922.13,High,Priority-Based,Static
2.17,01-01-2024 00:52,01-01-2024 00:52,85.16,5229,861,2.45,720,Enterprise DB,2814,256.34,Medium,FCFS,Static
0.28,01-01-2024 00:53,01-01-2024 00:53,81.59,2436,3674,3.01,812,Cloud,2459,247.19,High,ASB-Dynamic-CapsNet,Dynamic
3.33,01-01-2024 00:54,01-01-2024 00:54,57.83,6276,3885,9.14,957,Enterprise DB,3734,518.06,High,Round Robin,Dynamic
2.5,01-01-2024 00:55,01-01-2024 00:55,83.75,1462,2614,9.2,123,Social Media,3325,753.35,Medium,ASB-Dynamic-CapsNet,Dynamic
1.38,01-01-2024 00:56,01-01-2024 00:56,17.08,3505,784,3.63,496,Cloud,57,452.77,Medium,FCFS,Dynamic
1.45,01-01-2024 00:57,01-01-2024 00:57,25.68,4306,4333,7.2,798,IoT,2569,637.55,Medium,ASB-Dynamic-CapsNet,Dynamic
2.26,01-01-2024 00:58,01-01-2024 00:58,13.62,1382,677,6.92,250,Enterprise DB,2269,458,High,Round Robin,Static
4.14,01-01-2024 00:59,01-01-2024 00:59,36.03,4340,4905,8.16,165,Social Media,3924,614.28,Medium,ASB-Dynamic-CapsNet,Dynamic
2.12,01-01-2024 01:00,01-01-2024 01:00,41.09,7423,327,3.32,361,Social Media,3778,824.04,Medium,Round Robin,Static
4.2,01-01-2024 01:01,01-01-2024 01:01,31.71,1370,2428,5.35,53,IoT,3379,188.67,Low,ASB-Dynamic-CapsNet,Static
2.12,01-01-2024 01:02,01-01-2024 01:02,76.3,5111,2831,6.84,601,IoT,3421,698.42,Low,Round Robin,Dynamic
4.15,01-01-2024 01:03,01-01-2024 01:03,38.54,3485,927,0.75,321,Enterprise DB,663,789.55,Low,Round Robin,Static
4.66,01-01-2024 01:04,01-01-2024 01:04,32.47,6016,530,4.08,147,Social Media,738,452.64,Medium,Round Robin,Static
0.1,01-01-2024 01:05,01-01-2024 01:05,53.42,1365,1163,7.11,672,IoT,947,330,High,Priority-Based,Static
0.31,01-01-2024 01:06,01-01-2024 01:06,21.27,6749,1809,2.9,953,Cloud,159,23.41,Low,Round Robin,Static
0.67,01-01-2024 01:07,01-01-2024 01:07,74.18,5704,1334,9.6,445,IoT,4855,799.13,High,FCFS,Dynamic
0.61,01-01-2024 01:08,01-01-2024 01:08,15.96,4809,401,0.79,763,Cloud,3062,334.66,Low,Round Robin,Static
2.27,01-01-2024 01:09,01-01-2024 01:09,88.95,7788,1520,9.6,152,Social Media,2968,363.74,Low,Priority-Based,Static
3.82,01-01-2024 01:10,01-01-2024 01:10,71.78,3703,4728,2.56,832,Enterprise DB,1210,342.65,High,Priority-Based,Dynamic
4.81,01-01-2024 01:11,01-01-2024 01:11,25.9,3397,868,0.96,308,Social Media,4031,503.75,Low,FCFS,Dynamic
2.09,01-01-2024 01:12,01-01-2024 01:12,10.44,2744,1504,3.28,571,Social Media,3660,705.47,High,Round Robin,Dynamic
3.44,01-01-2024 01:13,01-01-2024 01:13,75.24,518,543,7.97,271,Social Media,4794,774.14,Medium,Priority-Based,Static
3.18,01-01-2024 01:14,01-01-2024 01:14,66.55,1141,3204,7.65,521,Social Media,2053,398.65,Medium,Priority-Based,Dynamic
1.97,01-01-2024 01:15,01-01-2024 01:15,68.32,3583,4455,2.48,682,Enterprise DB,1577,666.47,High,ASB-Dynamic-CapsNet,Static
3.61,01-01-2024 01:16,01-01-2024 01:16,71.7,5700,3405,2.37,71,IoT,1963,723.48,High,ASB-Dynamic-CapsNet,Dynamic
2.96,01-01-2024 01:17,01-01-2024 01:17,15.92,829,1638,6.6,576,Enterprise DB,4391,303.95,Medium,FCFS,Static
3.8,01-01-2024 01:18,01-01-2024 01:18,38.68,1365,4030,4.85,432,Enterprise DB,3231,105.66,High,ASB-Dynamic-CapsNet,Dynamic
0.97,01-01-2024 01:19,01-01-2024 01:19,19.27,1273,1431,8.03,405,Enterprise DB,4943,895.72,Medium,Round Robin,Dynamic
1.8,01-01-2024 01:20,01-01-2024 01:20,79.05,4987,169,0.73,893,Enterprise DB,3396,680.34,Medium,ASB-Dynamic-CapsNet,Static
3.36,01-01-2024 01:21,01-01-2024 01:21,59.86,5232,3535,6.3,40,IoT,2913,651.63,High,Priority-Based,Dynamic
0.62,01-01-2024 01:22,01-01-2024 01:22,36.47,2854,580,7.44,339,Social Media,4660,68.31,Low,FCFS,Dynamic
3.85,01-01-2024 01:23,01-01-2024 01:23,15.08,3838,4194,9.94,958,IoT,555,819.69,High,ASB-Dynamic-CapsNet,Static
0.67,01-01-2024 01:24,01-01-2024 01:24,34.88,4018,3596,6.95,811,IoT,4300,570.39,Medium,FCFS,Dynamic
1.62,01-01-2024 01:25,01-01-2024 01:25,36.01,3442,2893,2.7,178,Social Media,2056,849.41,Low,Round Robin,Dynamic
1.19,01-01-2024 01:26,01-01-2024 01:26,68.37,7295,2992,1.53,275,IoT,4256,974.82,Low,Round Robin,Static
0.3,01-01-2024 01:27,01-01-2024 01:27,61,7484,1298,6.59,317,Enterprise DB,2905,957.53,Medium,ASB-Dynamic-CapsNet,Static
1.35,01-01-2024 01:28,01-01-2024 01:28,80.98,5621,2472,5.47,468,Enterprise DB,4014,857.53,Low,ASB-Dynamic-CapsNet,Dynamic
4.56,01-01-2024 01:29,01-01-2024 01:29,47.78,3067,1992,9.04,194,Social Media,1724,20.84,Low,ASB-Dynamic-CapsNet,Dynamic
0.13,01-01-2024 01:30,01-01-2024 01:30,19.57,2174,1983,7.4,343,Social Media,1240,886.87,High,Priority-Based,Static
0.08,01-01-2024 01:31,01-01-2024 01:31,67.06,3183,897,5.34,524,Social Media,2442,84.31,Medium,Round Robin,Static
3.52,01-01-2024 01:32,01-01-2024 01:32,70.86,3880,117,4.33,450,Enterprise DB,1971,852.68,Low,Priority-Based,Dynamic
1.83,01-01-2024 01:33,01-01-2024 01:33,54.9,1239,143,4.34,682,Social Media,4439,287.37,Medium,ASB-Dynamic-CapsNet,Static
1.15,01-01-2024 01:34,01-01-2024 01:34,71.68,2045,254,2.65,400,IoT,2742,613.97,High,Round Robin,Dynamic
2.54,01-01-2024 01:35,01-01-2024 01:35,49.5,5064,3548,0.66,781,IoT,4483,47.69,High,Priority-Based,Dynamic
1.33,01-01-2024 01:36,01-01-2024 01:36,51.82,2759,4938,5.96,944,Cloud,1877,773.47,High,Priority-Based,Static
1.96,01-01-2024 01:37,01-01-2024 01:37,44.2,1635,4180,2.52,569,Cloud,2549,120.59,Low,FCFS,Static
3.58,01-01-2024 01:38,01-01-2024 01:38,12.03,5627,1525,2.48,263,Social Media,766,416.58,High,Priority-Based,Static
0.58,01-01-2024 01:39,01-01-2024 01:39,18.63,7447,4420,1.69,595,Cloud,680,819.27,Medium,ASB-Dynamic-CapsNet,Static
4.8,01-01-2024 01:40,01-01-2024 01:40,12.51,7120,4412,2.3,344,Enterprise DB,4910,698.4,High,ASB-Dynamic-CapsNet,Dynamic
0.21,01-01-2024 01:41,01-01-2024 01:41,60.91,1373,3739,0.8,409,Enterprise DB,134,15.98,Low,Priority-Based,Static
4.03,01-01-2024 01:42,01-01-2024 01:42,35.15,5055,4226,6.91,175,IoT,3818,409,High,FCFS,Dynamic
3.62,01-01-2024 01:43,01-01-2024 01:43,50.69,2800,1992,4.31,269,IoT,786,51.51,Low,FCFS,Dynamic
1.41,01-01-2024 01:44,01-01-2024 01:44,82.61,6145,997,5.83,13,Cloud,2757,676.76,Medium,FCFS,Dynamic
0.59,01-01-2024 01:45,01-01-2024 01:45,29.94,1251,3524,6.55,897,Cloud,276,969.26,High,Priority-Based,Dynamic
4.26,01-01-2024 01:46,01-01-2024 01:46,42.83,6057,4640,9.74,128,Enterprise DB,3407,658.71,High,Priority-Based,Dynamic
3.4,01-01-2024 01:47,01-01-2024 01:47,70.44,6373,1358,1.15,932,IoT,1357,232.13,Medium,FCFS,Static
1.45,01-01-2024 01:48,01-01-2024 01:48,28.3,7624,2115,4.47,479,Cloud,4254,361.68,Medium,Priority-Based,Static
0.08,01-01-2024 01:49,01-01-2024 01:49,16.16,1353,4933,2.84,479,Enterprise DB,4280,976.88,Low,Round Robin,Dynamic
4.69,01-01-2024 01:50,01-01-2024 01:50,33.18,4232,1802,5.03,794,IoT,4436,231.81,High,ASB-Dynamic-CapsNet,Static
2.02,01-01-2024 01:51,01-01-2024 01:51,22.9,2783,973,9.24,502,Enterprise DB,4008,565.91,High,Priority-Based,Static
0.88,01-01-2024 01:52,01-01-2024 01:52,84.38,1829,665,7.38,747,Enterprise DB,1702,406.45,High,Round Robin,Dynamic
4.56,01-01-2024 01:53,01-01-2024 01:53,74.65,977,2118,6.79,873,IoT,1917,770.63,High,Priority-Based,Dynamic
1.8,01-01-2024 01:54,01-01-2024 01:54,60.67,3226,1985,4.69,509,Enterprise DB,76,868.72,Medium,Round Robin,Static
2.32,01-01-2024 01:55,01-01-2024 01:55,79.72,3591,2223,6.88,79,Cloud,4699,347.43,High,FCFS,Dynamic
3.49,01-01-2024 01:56,01-01-2024 01:56,74.29,6859,4742,0.81,703,Enterprise DB,982,663.79,High,ASB-Dynamic-CapsNet,Static
4.1,01-01-2024 01:57,01-01-2024 01:57,24.93,7498,2414,6.07,874,Cloud,3508,553.56,High,Priority-Based,Static
0.5,01-01-2024 01:58,01-01-2024 01:58,81.4,4730,4512,5.76,785,Social Media,516,285.66,Low,Round Robin,Dynamic
4.49,01-01-2024 01:59,01-01-2024 01:59,53.15,7548,3983,3.79,379,Social Media,2750,279.22,Low,Round Robin,Static
4.66,01-01-2024 02:00,01-01-2024 02:00,74.6,5748,3292,2.41,190,Social Media,1548,543.25,Low,FCFS,Static
1.3,01-01-2024 02:01,01-01-2024 02:01,81.69,5005,1959,8.17,14,Enterprise DB,667,162.46,Medium,ASB-Dynamic-CapsNet,Dynamic
2.49,01-01-2024 02:02,01-01-2024 02:02,35.44,6041,124,1.01,206,Social Media,3827,812.7,Medium,ASB-Dynamic-CapsNet,Dynamic
4.29,01-01-2024 02:03,01-01-2024 02:03,18.8,5913,3603,1.16,56,Social Media,4603,78.31,Medium,ASB-Dynamic-CapsNet,Static
2.44,01-01-2024 02:04,01-01-2024 02:04,28.23,1769,4355,4.68,979,Enterprise DB,2737,103.63,High,Round Robin,Dynamic
2.41,01-01-2024 02:05,01-01-2024 02:05,44.17,6175,1237,2.9,561,IoT,1554,348.8,High,Priority-Based,Static
3.09,01-01-2024 02:06,01-01-2024 02:06,75.44,4681,1289,7.58,643,Enterprise DB,4017,126.91,Medium,Priority-Based,Dynamic
3.84,01-01-2024 02:07,01-01-2024 02:07,78.86,3103,4898,6.52,656,Cloud,229,480.94,Low,FCFS,Dynamic
3.33,01-01-2024 02:08,01-01-2024 02:08,10.56,6461,4196,7.84,149,Enterprise DB,2635,405.68,High,ASB-Dynamic-CapsNet,Static
3.13,01-01-2024 02:09,01-01-2024 02:09,50.86,1969,3257,3.58,871,IoT,2119,724.59,Low,Priority-Based,Static
1.86,01-01-2024 02:10,01-01-2024 02:10,43.39,877,2467,7.53,674,Social Media,4908,953.47,High,Round Robin,Static
3.15,01-01-2024 02:11,01-01-2024 02:11,27.77,2180,4577,8.69,549,Enterprise DB,971,756.02,High,Round Robin,Dynamic
0.52,01-01-2024 02:12,01-01-2024 02:12,19.59,5670,1841,3.78,436,Social Media,3142,187.65,Low,ASB-Dynamic-CapsNet,Static
2.05,01-01-2024 02:13,01-01-2024 02:13,37.01,741,3788,3.73,598,Cloud,4890,936.17,Medium,FCFS,Dynamic
0.94,01-01-2024 02:14,01-01-2024 02:14,85.43,7961,3846,9.05,696,IoT,1560,398.21,Low,FCFS,Dynamic
2.69,01-01-2024 02:15,01-01-2024 02:15,35.86,1419,997,0.97,570,Social Media,3649,479.45,Medium,ASB-Dynamic-CapsNet,Static
1.31,01-01-2024 02:16,01-01-2024 02:16,51.5,6182,4123,3.83,863,Social Media,3326,427.36,Medium,Round Robin,Static
2.53,01-01-2024 02:17,01-01-2024 02:17,66.24,6909,816,1.63,319,Social Media,2769,287.74,High,FCFS,Dynamic
3.89,01-01-2024 02:18,01-01-2024 02:18,39.09,7787,4067,0.78,283,Social Media,4782,896.09,High,Round Robin,Static
2.17,01-01-2024 02:19,01-01-2024 02:19,87.74,7355,4121,1.57,548,Enterprise DB,1073,338.92,High,Round Robin,Dynamic
1.09,01-01-2024 02:20,01-01-2024 02:20,87,5867,3315,4.6,849,IoT,201,582.81,Medium,Priority-Based,Dynamic
1.11,01-01-2024 02:21,01-01-2024 02:21,30.14,569,490,7.03,399,IoT,62,247.63,Medium,FCFS,Dynamic
4.53,01-01-2024 02:22,01-01-2024 02:22,49.78,4424,3984,3.25,468,Social Media,764,799.4,Low,Round Robin,Static
3.9,01-01-2024 02:23,01-01-2024 02:23,34.07,6700,1799,8.57,742,IoT,3200,776.46,High,Priority-Based,Dynamic
0.18,01-01-2024 02:24,01-01-2024 02:24,32.79,6001,3137,4.66,643,Social Media,3675,303.35,High,Round Robin,Dynamic
4.71,01-01-2024 02:25,01-01-2024 02:25,12.95,2586,332,9.7,370,Cloud,298,684.74,Medium,ASB-Dynamic-CapsNet,Static
0.56,01-01-2024 02:26,01-01-2024 02:26,58.77,2507,2026,9.56,78,Cloud,1194,706.83,High,FCFS,Static
3.26,01-01-2024 02:27,01-01-2024 02:27,50.21,1300,3231,7.85,592,Cloud,4532,566.89,Medium,Round Robin,Static
2.76,01-01-2024 02:28,01-01-2024 02:28,14.12,5637,3406,9.36,671,IoT,4584,604.59,Low,FCFS,Dynamic
0.23,01-01-2024 02:29,01-01-2024 02:29,32.29,3279,2824,7.22,708,Social Media,3393,578.71,Low,Priority-Based,Static
1.48,01-01-2024 02:30,01-01-2024 02:30,82.66,5420,4901,9.01,440,Enterprise DB,770,91.05,High,FCFS,Dynamic
3.88,01-01-2024 02:31,01-01-2024 02:31,29.16,1255,333,2.75,894,Enterprise DB,4618,673.56,Low,Round Robin,Dynamic
1.53,01-01-2024 02:32,01-01-2024 02:32,21.59,6995,1491,3.78,767,Cloud,3279,475.08,High,FCFS,Dynamic
2.4,01-01-2024 02:33,01-01-2024 02:33,49.16,2495,2992,7.65,717,Cloud,1056,444.07,High,ASB-Dynamic-CapsNet,Static
3.49,01-01-2024 02:34,01-01-2024 02:34,88.85,6435,1355,4.53,41,IoT,4778,861.4,Medium,ASB-Dynamic-CapsNet,Dynamic
0.36,01-01-2024 02:35,01-01-2024 02:35,29.36,1821,2638,8.45,988,Enterprise DB,3348,32.99,Medium,Priority-Based,Dynamic
4.16,01-01-2024 02:36,01-01-2024 02:36,63.77,2830,3790,8.84,630,IoT,2518,258.8,High,Round Robin,Static
0.21,01-01-2024 02:37,01-01-2024 02:37,70.93,6205,989,3.35,874,Cloud,4169,130.19,Low,FCFS,Dynamic
1.31,01-01-2024 02:38,01-01-2024 02:38,29.01,609,4787,8.32,522,Social Media,3863,44.99,Low,Priority-Based,Static
3.82,01-01-2024 02:39,01-01-2024 02:39,68.26,1516,845,1.97,191,Social Media,587,282.92,High,Priority-Based,Static
4.56,01-01-2024 02:40,01-01-2024 02:40,39.42,7847,1819,3.67,695,Social Media,2874,988.59,High,Round Robin,Static
3.8,01-01-2024 02:41,01-01-2024 02:41,60.58,6557,527,5.42,690,Cloud,2735,277.53,Low,FCFS,Static
1.13,01-01-2024 02:42,01-01-2024 02:42,60.68,7187,831,2.65,257,IoT,2030,667.07,Low,Priority-Based,Dynamic
4.93,01-01-2024 02:43,01-01-2024 02:43,52.86,6365,899,6,629,Social Media,589,127.12,Medium,Priority-Based,Dynamic
2.07,01-01-2024 02:44,01-01-2024 02:44,17.22,4365,4397,6,891,Enterprise DB,3934,605.83,Medium,Round Robin,Dynamic
1.88,01-01-2024 02:45,01-01-2024 02:45,76.82,524,935,2.47,306,Enterprise DB,4103,984.64,Low,Round Robin,Dynamic
4.33,01-01-2024 02:46,01-01-2024 02:46,35.66,5438,234,8.06,785,Cloud,3249,298.92,Medium,Priority-Based,Static
0.33,01-01-2024 02:47,01-01-2024 02:47,24.92,3338,2638,6.5,937,Enterprise DB,4566,849.59,Medium,FCFS,Dynamic
2.78,01-01-2024 02:48,01-01-2024 02:48,13.26,1237,3818,3.52,39,Enterprise DB,533,997.6,High,Priority-Based,Static
4.83,01-01-2024 02:49,01-01-2024 02:49,57.27,6700,140,2.71,311,Cloud,1078,592.67,Medium,ASB-Dynamic-CapsNet,Dynamic
0.5,01-01-2024 02:50,01-01-2024 02:50,64.21,679,3467,8.85,485,IoT,101,316.31,Medium,Round Robin,Dynamic
2.7,01-01-2024 02:51,01-01-2024 02:51,11.33,731,2515,8.44,882,Social Media,292,676.8,High,ASB-Dynamic-CapsNet,Static
0.66,01-01-2024 02:52,01-01-2024 02:52,50.97,2417,2140,2.68,957,Cloud,1736,846.4,Low,FCFS,Dynamic
4.45,01-01-2024 02:53,01-01-2024 02:53,28.12,842,4439,0.84,361,Enterprise DB,2871,179.64,Medium,Round Robin,Dynamic
2.94,01-01-2024 02:54,01-01-2024 02:54,61.61,5072,3049,8.14,994,Social Media,1890,457.99,Medium,FCFS,Static
1.17,01-01-2024 02:55,01-01-2024 02:55,23.95,6418,4361,6.35,491,Social Media,474,326,Low,ASB-Dynamic-CapsNet,Dynamic
1.54,01-01-2024 02:56,01-01-2024 02:56,65.28,3123,3566,1.46,326,Social Media,2177,290.53,Medium,FCFS,Dynamic
2.58,01-01-2024 02:57,01-01-2024 02:57,40.94,954,3188,6.08,746,Cloud,744,862.21,Low,Round Robin,Dynamic
3.63,01-01-2024 02:58,01-01-2024 02:58,84.94,5851,4923,4.8,406,Social Media,403,427.44,High,ASB-Dynamic-CapsNet,Static
2.44,01-01-2024 02:59,01-01-2024 02:59,21,4884,1215,7.86,98,IoT,3740,345.69,Low,Round Robin,Static
0.95,01-01-2024 03:00,01-01-2024 03:00,37.29,5832,4678,2.49,243,Enterprise DB,1739,607.48,Low,ASB-Dynamic-CapsNet,Dynamic
3.54,01-01-2024 03:01,01-01-2024 03:01,19.08,6901,2690,4.8,177,Cloud,342,227.21,Low,Priority-Based,Dynamic
0.59,01-01-2024 03:02,01-01-2024 03:02,83.98,5125,3673,1.98,752,Cloud,766,237.59,High,FCFS,Dynamic
4.05,01-01-2024 03:03,01-01-2024 03:03,80.19,7330,3078,9.6,135,Social Media,4674,525.09,Low,FCFS,Static
1.98,01-01-2024 03:04,01-01-2024 03:04,30.64,7572,2547,7.9,582,Enterprise DB,4625,415.18,Low,Round Robin,Dynamic
3.26,01-01-2024 03:05,01-01-2024 03:05,62.8,2776,1330,7.5,129,Social Media,4622,302.03,High,Priority-Based,Static
1.72,01-01-2024 03:06,01-01-2024 03:06,75.38,7893,2766,7.06,437,Social Media,4170,63.41,Medium,Round Robin,Static
3.35,01-01-2024 03:07,01-01-2024 03:07,54.42,1095,4954,4.52,199,Cloud,2528,525.57,Medium,Round Robin,Dynamic
4.45,01-01-2024 03:08,01-01-2024 03:08,52.37,4374,4358,9.27,642,IoT,2414,818.44,Low,ASB-Dynamic-CapsNet,Static
3.51,01-01-2024 03:09,01-01-2024 03:09,29.35,5030,2694,1.19,437,Enterprise DB,687,852.86,High,Priority-Based,Static
3.36,01-01-2024 03:10,01-01-2024 03:10,17.45,5477,3530,8.13,569,Enterprise DB,2455,243.09,High,ASB-Dynamic-CapsNet,Static
3.79,01-01-2024 03:11,01-01-2024 03:11,81.78,7664,3017,2.54,211,Enterprise DB,1349,603.64,Low,Round Robin,Static
2.5,01-01-2024 03:12,01-01-2024 03:12,82.03,6377,3052,3.58,68,Enterprise DB,3998,857.32,Low,ASB-Dynamic-CapsNet,Static
1.1,01-01-2024 03:13,01-01-2024 03:13,60.65,4997,2095,5.43,706,IoT,739,414.64,Medium,ASB-Dynamic-CapsNet,Dynamic
4.08,01-01-2024 03:14,01-01-2024 03:14,37.12,3169,3991,7.94,232,Cloud,4489,932.82,Medium,FCFS,Static
3.24,01-01-2024 03:15,01-01-2024 03:15,37.94,2635,406,8.47,501,IoT,2656,903.95,Low,Priority-Based,Static
